,en,ar
0,"This is the reason I wrote it: a man approached me from the land of Wāsiṭ, one of the judges of its regions, a Sheikh named Raḍī al-Dīn al-Wāsiṭī, who was a scholar of Shāfi’ī school. He approached us during the Hajj pilgrimage and he was among the people of virtue and religion. He complained of the people among him in that land under the Tartar government, of the prevalence of ignorance and oppression, the loss of religion and knowledge. He asked me to write a creed for him that he and his household could rely upon. I abstained from that and I said, ‘People have written a number of credal texts, so take one of the creeds written by the Imams of the Sunnah.’ He persisted in asking and he said, ‘I would like no one but you to write it.’ So I wrote this creed for him while I was sitting after midday, and many copies of it have been distributed in Egypt, Iraq, and elsewhere.",هَذِهِ كَانَ سَبَبُ كِتَابَتِهَا أَنَّهُ قَدِمَ عَلَيَّ مِنْ أَرْضِ وَاسِطٍ بَعْضُ قُضَاةِ نَوَاحِيهَا شَيْخٌ يُقَالُ لَهُ رَضِيُّ الدِّينِ الواسطي مِنْ أَصْحَابِ الشَّافِعِيِّ قَدِمَ عَلَيْنَا حَاجًّا وَكَانَ مِنْ أَهْلِ الْخَيْرِ وَالدِّينِ وَشَكَا مَا النَّاسُ فِيهِ بِتِلْكَ الْبِلَادِ وَفِي دَوْلَةِ التتر مِنْ غَلَبَةِ الْجَهْلِ وَالظُّلْمِ وَدُرُوسِ الدِّينِ وَالْعِلْمِ وَسَأَلَنِي أَنْ أَكْتُبَ لَهُ عَقِيدَةً تَكُونُ عُمْدَةً لَهُ وَلِأَهْلِ بَيْتِهِ فَاسْتَعْفَيْت مِنْ ذَلِكَ وَقُلْت قَدْ كَتَبَ النَّاسُ عَقَائِدَ مُتَعَدِّدَةً فَخُذْ بَعْضَ عَقَائِدِ أَئِمَّةِ السُّنَّةِ فَأَلَحَّ فِي السُّؤَالِ وَقَالَ مَا أُحِبُّ إلَّا عَقِيدَةً تَكْتُبُهَا أَنْتَ فَكَتَبْت لَهُ هَذِهِ الْعَقِيدَةَ وَأَنَا قَاعِدٌ بَعْدَ الْعَصْرِ وَقَدْ انْتَشَرَتْ بِهَا نُسَخٌ كَثِيرَةٌ؛ فِي مِصْرَ وَالْعِرَاقِ وَغَيْرِهِمَا
1,"When the month of Ramadan begins, the gates of the heaven are opened, the gates of Hellfire are closed, and the devils are chained.",‏إِذَا دَخَلَ شَهْرُ رَمَضَانَ فُتِّحَتْ أَبْوَابُ السَّمَاءِ وَغُلِّقَتْ أَبْوَابُ جَهَنَّمَ وَسُلْسِلَتِ الشَّيَاطِين‏
2,"O Allah, bring it over us with blessings and faith, safety and Islam. My Lord and your Lord is Allah.",اللَّهُمَّ أَهْلِلْهُ عَلَيْنَا بِالْيُمْنِ وَالْإِيمَانِ وَالسَّلَامَةِ وَالْإِسْلَامِ رَبِّي وَرَبُّكَ اللَّهُ
3,"O Allah, bring it over us with safety and faith, security and Islam, guidance to what You love and is pleasing to You. Our Lord and your Lord is Allah.",اللَّهُمَّ أَهِلَّهُ عَلَيْنَا بِالْأَمْنِ وَالْإِيمَانِ وَالسَّلَامَةِ وَالْإِسْلَامِ وَالتَّوْفِيقِ لِمَا تُحِبُّ وَتَرْضَى رَبُّنَا وَرَبُّكَ اللَّهُ
4,"Verily, this month has presented itself to you. There is a night within it that is better than a thousand months. Whoever is deprived of it has been deprived of all good. None is deprived of its good but that he is truly deprived.",إِنَّ هَذَا الشَّهْرَ قَدْ حَضَرَكُمْ وَفِيهِ لَيْلَةٌ خَيْرٌ مِنْ أَلْفِ شَهْرٍ مَنْ حُرِمَهَا فَقَدْ حُرِمَ الْخَيْرَ كُلَّهُ وَلَا يُحْرَمُ خَيْرَهَا إِلَّا مَحْرُومٌ
5,"The month of Ramadan has come, a blessed month in which Allah Almighty has obligated you to fast. In it the gates of the heavens are opened, the gates of Hellfire are closed, the devils are chained, and in it is a night that is better than a thousand months. Thus, whoever is deprived of its good is truly deprived.",قَدْ جَاءَكُمْ رَمَضَانُ شَهْرٌ مُبَارَكٌ افْتَرَضَ اللَّهُ عَلَيْكُمْ صِيَامَهُ تُفْتَحُ فِيهِ أَبْوَابُ الْجَنَّةِ وَيُغْلَقُ فِيهِ أَبْوَابُ الْجَحِيمِ وَتُغَلُّ فِيهِ الشَّيَاطِينُ فِيهِ لَيْلَةٌ خَيْرٌ مِنْ أَلْفِ شَهْرٍ مَنْ حُرِمَ خَيْرَهَا قَدْ حُرِمَ
6,"On the first night of the month of Ramadan, the devils are chained and the jinn are restrained, the gates of Hellfire are closed and none of its gates are opened, the gates of Paradise are opened and none of its gates are closed, and a heavenly caller announces: O seeker of good, come near! O seeker of evil, stop short! Allah has those He saves from the Hellfire, and that is during every night.",إِذَا كَانَ أَوَّلُ لَيْلَةٍ مِنْ شَهْرِ رَمَضَانَ صُفِّدَتْ الشَّيَاطِينُ وَمَرَدَةُ الْجِنِّ وَغُلِّقَتْ أَبْوَابُ النَّارِ فَلَمْ يُفْتَحْ مِنْهَا بَابٌ وَفُتِّحَتْ أَبْوَابُ الْجَنَّةِ فَلَمْ يُغْلَقْ مِنْهَا بَابٌ وَيُنَادِي مُنَادٍ يَا بَاغِيَ الْخَيْرِ أَقْبِلْ وَيَا بَاغِيَ الشَّرِّ أَقْصِرْ وَلِلَّهِ عُتَقَاءُ مِنْ النَّارِ وَذَلكَ كُلُّ لَيْلَةٍ
7,"Islam is built upon five: to worship Allah and to disbelieve in what is worshiped besides him, to establish prayer, to give charity, to perform Hajj pilgrimage to the house, and to fast the month of Ramadan.",بُنِيَ الْإِسْلَامُ عَلَى خَمْسٍ عَلَى أَنْ يُعْبَدَ اللَّهُ وَيُكْفَرَ بِمَا دُونَهُ وَإِقَامِ الصَّلَاةِ وَإِيتَاءِ الزَّكَاةِ وَحَجِّ الْبَيْتِ وَصَوْمِ رَمَضَانَ
8,"Worship Allah and never associate anything with Him, establish the prescribed prayers, give the obligatory charity, and fast of the month of Ramadan.",تَعْبُدُ اللَّهَ لَا تُشْرِكُ بِهِ شَيْئًا وَتُقِيمُ الصَّلَاةَ الْمَكْتُوبَةَ وَتُؤَدِّي الزَّكَاةَ الْمَفْرُوضَةَ وَتَصُومُ رَمَضَانَ
9,"Whoever is pleased to see a man from the people of Paradise, let him look at this one.",مَنْ سَرَّهُ أَنْ يَنْظُرَ إِلَى رَجُلٍ مِنْ أَهْلِ الْجَنَّةِ فَلْيَنْظُرْ إِلَى هَذَا
10,Among the truthful and the martyrs.,مِنَ الصِّدِّيقِينَ وَالشُّهَدَاءِ
11,Did he not fast the month of Ramadan after him? And he performed six thousand or so bowings in prayer throughout the year?,أَلَيْسَ قَدْ صَامَ بَعْدَهُ رَمَضَانَ وَصَلَّى سِتَّةَ آلَافِ رَكْعَةٍ أَوْ كَذَا وَكَذَا رَكْعَةً صَلَاةَ السَّنَةِ
12,"Worship Allah and do not associate anything with Him, establish the prescribed prayers, give the obligatory charity, perform the Hajj and Umrah pilgrimages, and fast the month of Ramadan. Look at the way you would love people to treat you and do so to them, and whatever you would hate for them to do to you, spare them of it.",اعْبُدِ اللَّهَ وَلا تُشْرِكْ بِهِ شَيْئًا وَأَقِمِ الصَّلاةَ الْمَكْتُوبَةَ وَأَدِّ الزَّكَاةَ الْمَفْرُوضَةَ وَحُجَّ وَاعْتَمِرْ وَصُمْ رَمَضَانَ وَانْظُرْ مَا تُحِبُّ لِلنَّاسِ أَنْ يَأْتُوهُ إِلَيْكَ فَافْعَلْهُ بِهِمْ وَمَا تَكْرَهُ أَنْ يَأْتُوهُ إِلَيْكَ فَذَرْهُمْ مِنْهُ
13,"Fear Allah your Lord, pray your five prayers, fast your month of Ramadan, give charity from your wealth, and obey those in authority over you. You will enter the Paradise of your Lord.",اتَّقُوا اللَّهَ رَبَّكُمْ وَصَلُّوا خَمْسَكُمْ وَصُومُوا شَهْرَكُمْ وَأَدُّوا زَكَاةَ أَمْوَالِكُمْ وَأَطِيعُوا ذَا أَمْرِكُمْ تَدْخُلُوا جَنَّةَ رَبِّكُمْ
14,"If a woman prays her five prayers, fasts her month of Ramadan, guards her chastity, and obeys her husband, she will enter Paradise from any gate she wishes.",إِذَا صَلَّتِ الْمَرْأَةُ خُمُسَهَا وَصَامَتْ شَهْرَهَا وَحَصَّنَتْ فَرْجَهَا وَأَطَاعَتْ بَعْلَهَا دَخَلَتْ مِنْ أَيِّ أَبْوَابِ الْجَنَّةِ شَاءَتْ
