,Arabic,English
0,هَذِهِ كَانَ سَبَبُ كِتَابَتِهَا أَنَّهُ قَدِمَ عَلَيَّ مِنْ أَرْضِ وَاسِطٍ بَعْضُ قُضَاةِ نَوَاحِيهَا شَيْخٌ يُقَالُ لَهُ رَضِيُّ الدِّينِ الواسطي مِنْ أَصْحَابِ الشَّافِعِيِّ قَدِمَ عَلَيْنَا حَاجًّا وَكَانَ مِنْ أَهْلِ الْخَيْرِ وَالدِّينِ وَشَكَا مَا النَّاسُ فِيهِ بِتِلْكَ الْبِلَادِ وَفِي دَوْلَةِ التتر مِنْ غَلَبَةِ الْجَهْلِ وَالظُّلْمِ وَدُرُوسِ الدِّينِ وَالْعِلْمِ وَسَأَلَنِي أَنْ أَكْتُبَ لَهُ عَقِيدَةً تَكُونُ عُمْدَةً لَهُ وَلِأَهْلِ بَيْتِهِ فَاسْتَعْفَيْت مِنْ ذَلِكَ وَقُلْت قَدْ كَتَبَ النَّاسُ عَقَائِدَ مُتَعَدِّدَةً فَخُذْ بَعْضَ عَقَائِدِ أَئِمَّةِ السُّنَّةِ فَأَلَحَّ فِي السُّؤَالِ وَقَالَ مَا أُحِبُّ إلَّا عَقِيدَةً تَكْتُبُهَا أَنْتَ فَكَتَبْت لَهُ هَذِهِ الْعَقِيدَةَ وَأَنَا قَاعِدٌ بَعْدَ الْعَصْرِ وَقَدْ انْتَشَرَتْ بِهَا نُسَخٌ كَثِيرَةٌ؛ فِي مِصْرَ وَالْعِرَاقِ وَغَيْرِهِمَا,"This is the reason I wrote it: a man approached me from the land of Wāsiṭ, one of the judges of its regions, a Sheikh named Raḍī al-Dīn al-Wāsiṭī, who was a scholar of Shāfi’ī school. He approached us during the Hajj pilgrimage and he was among the people of virtue and religion. He complained of the people among him in that land under the Tartar government, of the prevalence of ignorance and oppression, the loss of religion and knowledge. He asked me to write a creed for him that he and his household could rely upon. I abstained from that and I said, ‘People have written a number of credal texts, so take one of the creeds written by the Imams of the Sunnah.’ He persisted in asking and he said, ‘I would like no one but you to write it.’ So I wrote this creed for him while I was sitting after midday, and many copies of it have been distributed in Egypt, Iraq, and elsewhere."
1,‏إِذَا دَخَلَ شَهْرُ رَمَضَانَ فُتِّحَتْ أَبْوَابُ السَّمَاءِ وَغُلِّقَتْ أَبْوَابُ جَهَنَّمَ وَسُلْسِلَتِ الشَّيَاطِين‏,"When the month of Ramadan begins, the gates of the heaven are opened, the gates of Hellfire are closed, and the devils are chained."
2,اللَّهُمَّ أَهْلِلْهُ عَلَيْنَا بِالْيُمْنِ وَالْإِيمَانِ وَالسَّلَامَةِ وَالْإِسْلَامِ رَبِّي وَرَبُّكَ اللَّهُ,"O Allah, bring it over us with blessings and faith, safety and Islam. My Lord and your Lord is Allah."
3,اللَّهُمَّ أَهِلَّهُ عَلَيْنَا بِالْأَمْنِ وَالْإِيمَانِ وَالسَّلَامَةِ وَالْإِسْلَامِ وَالتَّوْفِيقِ لِمَا تُحِبُّ وَتَرْضَى رَبُّنَا وَرَبُّكَ اللَّهُ,"O Allah, bring it over us with safety and faith, security and Islam, guidance to what You love and is pleasing to You. Our Lord and your Lord is Allah."
4,إِنَّ هَذَا الشَّهْرَ قَدْ حَضَرَكُمْ وَفِيهِ لَيْلَةٌ خَيْرٌ مِنْ أَلْفِ شَهْرٍ مَنْ حُرِمَهَا فَقَدْ حُرِمَ الْخَيْرَ كُلَّهُ وَلَا يُحْرَمُ خَيْرَهَا إِلَّا مَحْرُومٌ,"Verily, this month has presented itself to you. There is a night within it that is better than a thousand months. Whoever is deprived of it has been deprived of all good. None is deprived of its good but that he is truly deprived."
5,قَدْ جَاءَكُمْ رَمَضَانُ شَهْرٌ مُبَارَكٌ افْتَرَضَ اللَّهُ عَلَيْكُمْ صِيَامَهُ تُفْتَحُ فِيهِ أَبْوَابُ الْجَنَّةِ وَيُغْلَقُ فِيهِ أَبْوَابُ الْجَحِيمِ وَتُغَلُّ فِيهِ الشَّيَاطِينُ فِيهِ لَيْلَةٌ خَيْرٌ مِنْ أَلْفِ شَهْرٍ مَنْ حُرِمَ خَيْرَهَا قَدْ حُرِمَ,"The month of Ramadan has come, a blessed month in which Allah Almighty has obligated you to fast. In it the gates of the heavens are opened, the gates of Hellfire are closed, the devils are chained, and in it is a night that is better than a thousand months. Thus, whoever is deprived of its good is truly deprived."
6,إِذَا كَانَ أَوَّلُ لَيْلَةٍ مِنْ شَهْرِ رَمَضَانَ صُفِّدَتْ الشَّيَاطِينُ وَمَرَدَةُ الْجِنِّ وَغُلِّقَتْ أَبْوَابُ النَّارِ فَلَمْ يُفْتَحْ مِنْهَا بَابٌ وَفُتِّحَتْ أَبْوَابُ الْجَنَّةِ فَلَمْ يُغْلَقْ مِنْهَا بَابٌ وَيُنَادِي مُنَادٍ يَا بَاغِيَ الْخَيْرِ أَقْبِلْ وَيَا بَاغِيَ الشَّرِّ أَقْصِرْ وَلِلَّهِ عُتَقَاءُ مِنْ النَّارِ وَذَلكَ كُلُّ لَيْلَةٍ,"On the first night of the month of Ramadan, the devils are chained and the jinn are restrained, the gates of Hellfire are closed and none of its gates are opened, the gates of Paradise are opened and none of its gates are closed, and a heavenly caller announces: O seeker of good, come near! O seeker of evil, stop short! Allah has those He saves from the Hellfire, and that is during every night."
7,بُنِيَ الْإِسْلَامُ عَلَى خَمْسٍ عَلَى أَنْ يُعْبَدَ اللَّهُ وَيُكْفَرَ بِمَا دُونَهُ وَإِقَامِ الصَّلَاةِ وَإِيتَاءِ الزَّكَاةِ وَحَجِّ الْبَيْتِ وَصَوْمِ رَمَضَانَ,"Islam is built upon five: to worship Allah and to disbelieve in what is worshiped besides him, to establish prayer, to give charity, to perform Hajj pilgrimage to the house, and to fast the month of Ramadan."
8,تَعْبُدُ اللَّهَ لَا تُشْرِكُ بِهِ شَيْئًا وَتُقِيمُ الصَّلَاةَ الْمَكْتُوبَةَ وَتُؤَدِّي الزَّكَاةَ الْمَفْرُوضَةَ وَتَصُومُ رَمَضَانَ,"Worship Allah and never associate anything with Him, establish the prescribed prayers, give the obligatory charity, and fast of the month of Ramadan."
9,مَنْ سَرَّهُ أَنْ يَنْظُرَ إِلَى رَجُلٍ مِنْ أَهْلِ الْجَنَّةِ فَلْيَنْظُرْ إِلَى هَذَا,"Whoever is pleased to see a man from the people of Paradise, let him look at this one."
10,مِنَ الصِّدِّيقِينَ وَالشُّهَدَاءِ,Among the truthful and the martyrs.
11,أَلَيْسَ قَدْ صَامَ بَعْدَهُ رَمَضَانَ وَصَلَّى سِتَّةَ آلَافِ رَكْعَةٍ أَوْ كَذَا وَكَذَا رَكْعَةً صَلَاةَ السَّنَةِ,Did he not fast the month of Ramadan after him? And he performed six thousand or so bowings in prayer throughout the year?
12,اعْبُدِ اللَّهَ وَلا تُشْرِكْ بِهِ شَيْئًا وَأَقِمِ الصَّلاةَ الْمَكْتُوبَةَ وَأَدِّ الزَّكَاةَ الْمَفْرُوضَةَ وَحُجَّ وَاعْتَمِرْ وَصُمْ رَمَضَانَ وَانْظُرْ مَا تُحِبُّ لِلنَّاسِ أَنْ يَأْتُوهُ إِلَيْكَ فَافْعَلْهُ بِهِمْ وَمَا تَكْرَهُ أَنْ يَأْتُوهُ إِلَيْكَ فَذَرْهُمْ مِنْهُ,"Worship Allah and do not associate anything with Him, establish the prescribed prayers, give the obligatory charity, perform the Hajj and Umrah pilgrimages, and fast the month of Ramadan. Look at the way you would love people to treat you and do so to them, and whatever you would hate for them to do to you, spare them of it."
13,اتَّقُوا اللَّهَ رَبَّكُمْ وَصَلُّوا خَمْسَكُمْ وَصُومُوا شَهْرَكُمْ وَأَدُّوا زَكَاةَ أَمْوَالِكُمْ وَأَطِيعُوا ذَا أَمْرِكُمْ تَدْخُلُوا جَنَّةَ رَبِّكُمْ,"Fear Allah your Lord, pray your five prayers, fast your month of Ramadan, give charity from your wealth, and obey those in authority over you. You will enter the Paradise of your Lord."
14,إِذَا صَلَّتِ الْمَرْأَةُ خُمُسَهَا وَصَامَتْ شَهْرَهَا وَحَصَّنَتْ فَرْجَهَا وَأَطَاعَتْ بَعْلَهَا دَخَلَتْ مِنْ أَيِّ أَبْوَابِ الْجَنَّةِ شَاءَتْ,"If a woman prays her five prayers, fasts her month of Ramadan, guards her chastity, and obeys her husband, she will enter Paradise from any gate she wishes."
15,خَمْسٌ مَنْ جَاءَ بِهِنَّ مَعَ إِيمَانٍ دَخَلَ الْجَنَّةَ مَنْ حَافَظَ عَلَى الصَّلَوَاتِ الْخَمْسِ عَلَى وُضُوئِهِنَّ وَرُكُوعِهِنَّ وَسُجُودِهِنَّ وَمَوَاقِيتِهِنَّ وَصَامَ رَمَضَانَ وَحَجَّ الْبَيْتَ إِنْ اسْتَطَاعَ إِلَيْهِ سَبِيلًا وَأَعْطَى الزَّكَاةَ طَيِّبَةً بِهَا نَفْسُهُ وَأَدَّى الْأَمَانَةَ,"Whoever comes with five deeds, along with faith, will enter Paradise: one who preserves the five prayers, their ablution, their bowings, their prostrations, and their timings, who fasts the month of Ramadan, who performs Hajj pilgrimage to the House if he can find the means, who gives charity with a cheerful soul, and one who fulfills the trust."
16,الإِسْلامُ أَنْ تَعْبُدَ اللَّهَ وَلا تُشْرِكَ بِهِ شَيْئًا وَتُقِيمَ الصَّلاةَ وَتُؤْتِيَ الزَّكَاةَ وَتَصُومَ رَمَضَانَ وَتَحُجَّ الْبَيْتَ وَالأَمْرُ بِالْمَعْرُوفِ وَالنَّهْيُ عَنِ الْمُنْكَرِ وَتَسْلِيمُكَ عَلَى أَهْلِكَ فَمَنِ انْتَقَصَ شَيْئًا مِنْهُنَّ فَهُوَ سَهْمٌ فِي الإِسْلامِ يَدَعُهُ وَمَنْ تَرَكَهُنَّ كُلَّهُنَّ فَقَدْ وَلَّى الإِسْلامَ ظَهْرَهُ,"Islam is to worship Allah without associating a partner with Him, to establish prayer, to give charity, to fast the month of Ramadan, to perform pilgrimage to the House, to enjoin good and forbid evil, and to greet your people with peace. Whoever neglects anything from them has abandoned a part of Islam, and whoever neglects all of them has thrown Islam behind his back."
17,الصَّلَوَاتُ الْخَمْسُ وَالْجُمُعَةُ إِلَى الْجُمُعَةِ وَرَمَضَانُ إِلَى رَمَضَانَ مُكَفِّرَاتٌ مَا بَيْنَهُنَّ مَا اجْتُنِبَتْ الْكَبَائِرُ,"The five prayers, Friday to Friday, and Ramadan to Ramadan will be expiation for the sins between them, so long as major sins are avoided."
18,الْإِحْسَان أَنْ تَعْبُدَ اللَّهَ كَأَنَّكَ تَرَاهُ فَإِنْ لَمْ تَكُنْ تَرَاهُ فَإِنَّهُ يَرَاكَ,"Excellence is to worship Allah as if you see Him, for if you do not see Him, He surely sees you."
19,مَنْ صَامَ رَمَضَانَ إِيمَانًا وَاحْتِسَابًا غُفِرَ لَهُ مَا تَقَدَّمَ مِنْ ذَنْبِهِ وَمَنْ قَامَ لَيْلَةَ الْقَدْرِ إِيمَانًا وَاحْتِسَابًا غُفِرَ لَهُ مَا تَقَدَّمَ مِنْ ذَنْبِهِ,"Whoever fasts the month of Ramadan due to faith and seeking reward, his previous sins will be forgiven. Whoever stands in prayer during the Night of Decree due to faith and seeking reward, his previous sins will be forgiven."
