,en,ar
0,"praise be to god, lord of the worlds.",الحَمدُ لِلَّهِ رَبِّ العالَمينَ
1,"the most gracious, the most merciful.",الرَّحمٰنِ الرَّحيمِ
2,master of the day of judgment.,مالِكِ يَومِ الدّينِ
3,"it is you we worship, and upon you we call for help.",إِيّاكَ نَعبُدُ وَإِيّاكَ نَستَعينُ
4,guide us to the straight path.,اهدِنَا الصِّراطَ المُستَقيمَ
5,"the path of those you have blessed, not of those against whom there is anger, nor of those who are misguided.",صِراطَ الَّذينَ أَنعَمتَ عَلَيهِم غَيرِ المَغضوبِ عَلَيهِم وَلَا الضّالّينَ
6,"this is the book in which there is no doubt, a guide for the righteous.",ذٰلِكَ الكِتابُ لا رَيبَ فيهِ هُدًى لِلمُتَّقينَ
7,"those who believe in the unseen, and perform the prayers, and give from what we have provided for them.",الَّذينَ يُؤمِنونَ بِالغَيبِ وَيُقيمونَ الصَّلاةَ وَمِمّا رَزَقناهُم يُنفِقونَ
8,"and those who believe in what was revealed to you, and in what was revealed before you, and are certain of the hereafter.",وَالَّذينَ يُؤمِنونَ بِما أُنزِلَ إِلَيكَ وَما أُنزِلَ مِن قَبلِكَ وَبِالآخِرَةِ هُم يوقِنونَ
9,these are upon guidance from their lord. these are the successful.,أُولٰئِكَ عَلىٰ هُدًى مِن رَبِّهِم وَأُولٰئِكَ هُمُ المُفلِحونَ
10,"as for those who disbelieve—it is the same for them, whether you have warned them, or have not warned them—they do not believe.",إِنَّ الَّذينَ كَفَروا سَواءٌ عَلَيهِم أَأَنذَرتَهُم أَم لَم تُنذِرهُم لا يُؤمِنونَ
11,"god has set a seal on their hearts and on their hearing, and over their vision is a veil. they will have a severe torment.",خَتَمَ اللَّهُ عَلىٰ قُلوبِهِم وَعَلىٰ سَمعِهِم وَعَلىٰ أَبصارِهِم غِشاوَةٌ وَلَهُم عَذابٌ عَظيمٌ
12,"among the people are those who say, “we believe in god and in the last day,” but they are not believers.",وَمِنَ النّاسِ مَن يَقولُ آمَنّا بِاللَّهِ وَبِاليَومِ الآخِرِ وَما هُم بِمُؤمِنينَ
13,"they seek to deceive god and those who believe, but they deceive none but themselves, though they are not aware.",يُخادِعونَ اللَّهَ وَالَّذينَ آمَنوا وَما يَخدَعونَ إِلّا أَنفُسَهُم وَما يَشعُرونَ
14,"in their hearts is sickness, and god has increased their sickness. they will have a painful punishment because of their denial.",في قُلوبِهِم مَرَضٌ فَزادَهُمُ اللَّهُ مَرَضًا وَلَهُم عَذابٌ أَليمٌ بِما كانوا يَكذِبونَ
15,"and when it is said to them, “do not make trouble on earth,” they say, “we are only reformers.”",وَإِذا قيلَ لَهُم لا تُفسِدوا فِي الأَرضِ قالوا إِنَّما نَحنُ مُصلِحونَ
16,"in fact, they are the troublemakers, but they are not aware.",أَلا إِنَّهُم هُمُ المُفسِدونَ وَلٰكِن لا يَشعُرونَ
17,"and when it is said to them, “believe as the people have believed,” they say, “shall we believe as the fools have believed?” in fact, it is they who are the fools, but they do not know.",وَإِذا قيلَ لَهُم آمِنوا كَما آمَنَ النّاسُ قالوا أَنُؤمِنُ كَما آمَنَ السُّفَهاءُ أَلا إِنَّهُم هُمُ السُّفَهاءُ وَلٰكِن لا يَعلَمونَ
18,"and when they come across those who believe, they say, “we believe”; but when they are alone with their devils, they say, “we are with you; we were only ridiculing.”",وَإِذا لَقُوا الَّذينَ آمَنوا قالوا آمَنّا وَإِذا خَلَوا إِلىٰ شَياطينِهِم قالوا إِنّا مَعَكُم إِنَّما نَحنُ مُستَهزِئونَ
19,"it is god who ridicules them, and leaves them bewildered in their transgression.",اللَّهُ يَستَهزِئُ بِهِم وَيَمُدُّهُم في طُغيانِهِم يَعمَهونَ
20,"those are they who have bartered error for guidance; but their trade does not profit them, and they are not guided.",أُولٰئِكَ الَّذينَ اشتَرَوُا الضَّلالَةَ بِالهُدىٰ فَما رَبِحَت تِجارَتُهُم وَما كانوا مُهتَدينَ
21,"their likeness is that of a person who kindled a fire; when it illuminated all around him, god took away their light, and left them in darkness, unable to see.",مَثَلُهُم كَمَثَلِ الَّذِي استَوقَدَ نارًا فَلَمّا أَضاءَت ما حَولَهُ ذَهَبَ اللَّهُ بِنورِهِم وَتَرَكَهُم في ظُلُماتٍ لا يُبصِرونَ
22,"deaf, dumb, blind. they will not return.",صُمٌّ بُكمٌ عُميٌ فَهُم لا يَرجِعونَ
23,"or like a cloudburst from the sky, in which is darkness, and thunder, and lightning. they press their fingers into their ears from the thunderbolts, in fear of death. but god surrounds the disbelievers.",أَو كَصَيِّبٍ مِنَ السَّماءِ فيهِ ظُلُماتٌ وَرَعدٌ وَبَرقٌ يَجعَلونَ أَصابِعَهُم في آذانِهِم مِنَ الصَّواعِقِ حَذَرَ المَوتِ وَاللَّهُ مُحيطٌ بِالكافِرينَ
24,"the lightning almost snatches their sight away. whenever it illuminates for them, they walk in it; but when it grows dark over them, they stand still. had god willed, he could have taken away their hearing and their sight. god is capable of everything.",يَكادُ البَرقُ يَخطَفُ أَبصارَهُم كُلَّما أَضاءَ لَهُم مَشَوا فيهِ وَإِذا أَظلَمَ عَلَيهِم قاموا وَلَو شاءَ اللَّهُ لَذَهَبَ بِسَمعِهِم وَأَبصارِهِم إِنَّ اللَّهَ عَلىٰ كُلِّ شَيءٍ قَديرٌ
25,"o people! worship your lord who created you and those before you, that you may attain piety.",يا أَيُّهَا النّاسُ اعبُدوا رَبَّكُمُ الَّذي خَلَقَكُم وَالَّذينَ مِن قَبلِكُم لَعَلَّكُم تَتَّقونَ
26,"he who made the earth a habitat for you, and the sky a structure, and sends water down from the sky, and brings out fruits thereby, as a sustenance for you. therefore, do not assign rivals to god while you know.",الَّذي جَعَلَ لَكُمُ الأَرضَ فِراشًا وَالسَّماءَ بِناءً وَأَنزَلَ مِنَ السَّماءِ ماءً فَأَخرَجَ بِهِ مِنَ الثَّمَراتِ رِزقًا لَكُم فَلا تَجعَلوا لِلَّهِ أَندادًا وَأَنتُم تَعلَمونَ
27,"and if you are in doubt about what we have revealed to our servant, then produce a chapter like these, and call your witnesses apart from god, if you are truthful.",وَإِن كُنتُم في رَيبٍ مِمّا نَزَّلنا عَلىٰ عَبدِنا فَأتوا بِسورَةٍ مِن مِثلِهِ وَادعوا شُهَداءَكُم مِن دونِ اللَّهِ إِن كُنتُم صادِقينَ
28,"but if you do not—and you will not—then beware the fire whose fuel is people and stones, prepared for the disbelievers.",فَإِن لَم تَفعَلوا وَلَن تَفعَلوا فَاتَّقُوا النّارَ الَّتي وَقودُهَا النّاسُ وَالحِجارَةُ أُعِدَّت لِلكافِرينَ
29,"and give good news to those who believe and do righteous deeds; that they will have gardens beneath which rivers flow. whenever they are provided with fruit therefrom as sustenance, they will say, “this is what we were provided with before,” and they will be given the like of it. and they will have pure spouses therein, and they will abide therein forever.",وَبَشِّرِ الَّذينَ آمَنوا وَعَمِلُوا الصّالِحاتِ أَنَّ لَهُم جَنّاتٍ تَجري مِن تَحتِهَا الأَنهارُ كُلَّما رُزِقوا مِنها مِن ثَمَرَةٍ رِزقًا قالوا هٰذَا الَّذي رُزِقنا مِن قَبلُ وَأُتوا بِهِ مُتَشابِهًا وَلَهُم فيها أَزواجٌ مُطَهَّرَةٌ وَهُم فيها خالِدونَ
30,"god does not shy away from making an example of a gnat, or something above it. as for those who believe, they know that it is the truth from their lord. but as for those who disbelieve, they say, “what did god intend by this example?” he leads astray many thereby, and he guides many thereby; but he misleads thereby only the evildoers.",إِنَّ اللَّهَ لا يَستَحيي أَن يَضرِبَ مَثَلًا ما بَعوضَةً فَما فَوقَها فَأَمَّا الَّذينَ آمَنوا فَيَعلَمونَ أَنَّهُ الحَقُّ مِن رَبِّهِم وَأَمَّا الَّذينَ كَفَروا فَيَقولونَ ماذا أَرادَ اللَّهُ بِهٰذا مَثَلًا يُضِلُّ بِهِ كَثيرًا وَيَهدي بِهِ كَثيرًا وَما يُضِلُّ بِهِ إِلَّا الفاسِقينَ
31,"those who violate god’s covenant after its confirmation, and sever what god has commanded to be joined, and commit evil on earth. these are the losers.",الَّذينَ يَنقُضونَ عَهدَ اللَّهِ مِن بَعدِ ميثاقِهِ وَيَقطَعونَ ما أَمَرَ اللَّهُ بِهِ أَن يوصَلَ وَيُفسِدونَ فِي الأَرضِ أُولٰئِكَ هُمُ الخاسِرونَ
32,"how can you deny god, when you were dead and he gave you life, then he will put you to death, then he will bring you to life, then to him you will be returned?",كَيفَ تَكفُرونَ بِاللَّهِ وَكُنتُم أَمواتًا فَأَحياكُم ثُمَّ يُميتُكُم ثُمَّ يُحييكُم ثُمَّ إِلَيهِ تُرجَعونَ
33,"it is he who created for you everything on earth, then turned to the heaven, and made them seven heavens. and he is aware of all things.",هُوَ الَّذي خَلَقَ لَكُم ما فِي الأَرضِ جَميعًا ثُمَّ استَوىٰ إِلَى السَّماءِ فَسَوّاهُنَّ سَبعَ سَماواتٍ وَهُوَ بِكُلِّ شَيءٍ عَليمٌ
34,"when your lord said to the angels, “i am placing a successor on earth.” they said, “will you place in it someone who will cause corruption in it and shed blood, while we declare your praises and sanctify you?” he said, “i know what you do not know.”",وَإِذ قالَ رَبُّكَ لِلمَلائِكَةِ إِنّي جاعِلٌ فِي الأَرضِ خَليفَةً قالوا أَتَجعَلُ فيها مَن يُفسِدُ فيها وَيَسفِكُ الدِّماءَ وَنَحنُ نُسَبِّحُ بِحَمدِكَ وَنُقَدِّسُ لَكَ قالَ إِنّي أَعلَمُ ما لا تَعلَمونَ
35,"and he taught adam the names, all of them; then he presented them to the angels, and said, “tell me the names of these, if you are sincere.”",وَعَلَّمَ آدَمَ الأَسماءَ كُلَّها ثُمَّ عَرَضَهُم عَلَى المَلائِكَةِ فَقالَ أَنبِئوني بِأَسماءِ هٰؤُلاءِ إِن كُنتُم صادِقينَ
36,"they said, “glory be to you! we have no knowledge except what you have taught us. it is you who are the knowledgeable, the wise.”",قالوا سُبحانَكَ لا عِلمَ لَنا إِلّا ما عَلَّمتَنا إِنَّكَ أَنتَ العَليمُ الحَكيمُ
37,"he said, “o adam, tell them their names.” and when he told them their names, he said, “did i not tell you that i know the secrets of the heavens and the earth, and that i know what you reveal and what you conceal?”",قالَ يا آدَمُ أَنبِئهُم بِأَسمائِهِم فَلَمّا أَنبَأَهُم بِأَسمائِهِم قالَ أَلَم أَقُل لَكُم إِنّي أَعلَمُ غَيبَ السَّماواتِ وَالأَرضِ وَأَعلَمُ ما تُبدونَ وَما كُنتُم تَكتُمونَ
38,"and we said to the angels, “bow down to adam.” they bowed down, except for satan. he refused, was arrogant, and was one of the disbelievers.",وَإِذ قُلنا لِلمَلائِكَةِ اسجُدوا لِآدَمَ فَسَجَدوا إِلّا إِبليسَ أَبىٰ وَاستَكبَرَ وَكانَ مِنَ الكافِرينَ
39,"we said, “o adam, inhabit the garden, you and your spouse, and eat from it freely as you please, but do not approach this tree, lest you become wrongdoers.”",وَقُلنا يا آدَمُ اسكُن أَنتَ وَزَوجُكَ الجَنَّةَ وَكُلا مِنها رَغَدًا حَيثُ شِئتُما وَلا تَقرَبا هٰذِهِ الشَّجَرَةَ فَتَكونا مِنَ الظّالِمينَ
40,"but satan caused them to slip from it, and caused them to depart the state they were in. we said, “go down, some of you enemies of one another. and you will have residence on earth, and enjoyment for a while.”",فَأَزَلَّهُمَا الشَّيطانُ عَنها فَأَخرَجَهُما مِمّا كانا فيهِ وَقُلنَا اهبِطوا بَعضُكُم لِبَعضٍ عَدُوٌّ وَلَكُم فِي الأَرضِ مُستَقَرٌّ وَمَتاعٌ إِلىٰ حينٍ
41,"then adam received words from his lord, so he relented towards him. he is the relenting, the merciful.",فَتَلَقّىٰ آدَمُ مِن رَبِّهِ كَلِماتٍ فَتابَ عَلَيهِ إِنَّهُ هُوَ التَّوّابُ الرَّحيمُ
42,"we said, “go down from it, all of you. yet whenever guidance comes to you from me, then whoever follows my guidance—they have nothing to fear, nor shall they grieve.",قُلنَا اهبِطوا مِنها جَميعًا فَإِمّا يَأتِيَنَّكُم مِنّي هُدًى فَمَن تَبِعَ هُدايَ فَلا خَوفٌ عَلَيهِم وَلا هُم يَحزَنونَ
43,but as for those who disbelieve and reject our signs—these are the inmates of the fire—wherein they will remain forever.”,وَالَّذينَ كَفَروا وَكَذَّبوا بِآياتِنا أُولٰئِكَ أَصحابُ النّارِ هُم فيها خالِدونَ
44,"o children of israel! remember my blessings which i bestowed upon you, and fulfill your pledge to me, and i will fulfill my pledge to you, and fear me.",يا بَني إِسرائيلَ اذكُروا نِعمَتِيَ الَّتي أَنعَمتُ عَلَيكُم وَأَوفوا بِعَهدي أوفِ بِعَهدِكُم وَإِيّايَ فَارهَبونِ
45,"and believe in what i revealed, confirming what is with you; and do not be the first to deny it; and do not exchange my revelations for a small price; and be conscious of me.",وَآمِنوا بِما أَنزَلتُ مُصَدِّقًا لِما مَعَكُم وَلا تَكونوا أَوَّلَ كافِرٍ بِهِ وَلا تَشتَروا بِآياتي ثَمَنًا قَليلًا وَإِيّايَ فَاتَّقونِ
46,"and do not mix truth with falsehood, and do not conceal the truth while you know.",وَلا تَلبِسُوا الحَقَّ بِالباطِلِ وَتَكتُمُوا الحَقَّ وَأَنتُم تَعلَمونَ
47,"and attend to your prayers, and practice regular charity, and kneel with those who kneel.",وَأَقيمُوا الصَّلاةَ وَآتُوا الزَّكاةَ وَاركَعوا مَعَ الرّاكِعينَ
48,"do you command people to virtuous conduct, and forget yourselves, even though you read the scripture? do you not understand?",أَتَأمُرونَ النّاسَ بِالبِرِّ وَتَنسَونَ أَنفُسَكُم وَأَنتُم تَتلونَ الكِتابَ أَفَلا تَعقِلونَ
49,"and seek help through patience and prayer. but it is difficult, except for the devout.",وَاستَعينوا بِالصَّبرِ وَالصَّلاةِ وَإِنَّها لَكَبيرَةٌ إِلّا عَلَى الخاشِعينَ
50,"those who know that they will meet their lord, and that to him they will return.",الَّذينَ يَظُنّونَ أَنَّهُم مُلاقو رَبِّهِم وَأَنَّهُم إِلَيهِ راجِعونَ
51,"o children of israel! remember my favor which i bestowed upon you, and i that favored you over all nations.",يا بَني إِسرائيلَ اذكُروا نِعمَتِيَ الَّتي أَنعَمتُ عَلَيكُم وَأَنّي فَضَّلتُكُم عَلَى العالَمينَ
52,"and beware of a day when no soul will avail another in the least, nor will any intercession be accepted on its behalf, nor will any ransom be taken from it, nor will they be helped.",وَاتَّقوا يَومًا لا تَجزي نَفسٌ عَن نَفسٍ شَيئًا وَلا يُقبَلُ مِنها شَفاعَةٌ وَلا يُؤخَذُ مِنها عَدلٌ وَلا هُم يُنصَرونَ
53,"and recall that we delivered you from the people of pharaoh. they inflicted on you terrible persecution, killing your sons and sparing your women. therein was a tremendous trial from your lord.",وَإِذ نَجَّيناكُم مِن آلِ فِرعَونَ يَسومونَكُم سوءَ العَذابِ يُذَبِّحونَ أَبناءَكُم وَيَستَحيونَ نِساءَكُم وَفي ذٰلِكُم بَلاءٌ مِن رَبِّكُم عَظيمٌ
54,"and recall that we parted the sea for you, so we saved you, and we drowned the people of pharaoh as you looked on.",وَإِذ فَرَقنا بِكُمُ البَحرَ فَأَنجَيناكُم وَأَغرَقنا آلَ فِرعَونَ وَأَنتُم تَنظُرونَ
55,"and recall that we appointed for moses forty nights. then you took to worshiping the calf after him, and you turned wicked.",وَإِذ واعَدنا موسىٰ أَربَعينَ لَيلَةً ثُمَّ اتَّخَذتُمُ العِجلَ مِن بَعدِهِ وَأَنتُم ظالِمونَ
56,"then we pardoned you after that, so that you might be grateful.",ثُمَّ عَفَونا عَنكُم مِن بَعدِ ذٰلِكَ لَعَلَّكُم تَشكُرونَ
57,"and recall that we gave moses the scripture and the criterion, so that you may be guided.",وَإِذ آتَينا موسَى الكِتابَ وَالفُرقانَ لَعَلَّكُم تَهتَدونَ
58,"and recall that moses said to his people, “o my people, you have done wrong to yourselves by worshiping the calf. so repent to your maker, and kill your egos. that would be better for you with your maker.” so he turned to you in repentance. he is the accepter of repentance, the merciful.",وَإِذ قالَ موسىٰ لِقَومِهِ يا قَومِ إِنَّكُم ظَلَمتُم أَنفُسَكُم بِاتِّخاذِكُمُ العِجلَ فَتوبوا إِلىٰ بارِئِكُم فَاقتُلوا أَنفُسَكُم ذٰلِكُم خَيرٌ لَكُم عِندَ بارِئِكُم فَتابَ عَلَيكُم إِنَّهُ هُوَ التَّوّابُ الرَّحيمُ
59,"and recall that you said, “o moses, we will not believe in you unless we see god plainly.” thereupon the thunderbolt struck you, as you looked on.",وَإِذ قُلتُم يا موسىٰ لَن نُؤمِنَ لَكَ حَتّىٰ نَرَى اللَّهَ جَهرَةً فَأَخَذَتكُمُ الصّاعِقَةُ وَأَنتُم تَنظُرونَ
60,"then we revived you after your death, so that you may be appreciative.",ثُمَّ بَعَثناكُم مِن بَعدِ مَوتِكُم لَعَلَّكُم تَشكُرونَ
61,"and we shaded you with clouds, and we sent down to you manna and quails: “eat of the good things we have provided for you.” they did not wrong us, but they used to wrong their own souls.",وَظَلَّلنا عَلَيكُمُ الغَمامَ وَأَنزَلنا عَلَيكُمُ المَنَّ وَالسَّلوىٰ كُلوا مِن طَيِّباتِ ما رَزَقناكُم وَما ظَلَمونا وَلٰكِن كانوا أَنفُسَهُم يَظلِمونَ
