,text
0,[باب في الدخول على الملوك] [دخول الأشراف] إن كان الداخل من الأشراف والطبقة العالية، فمن حق الملك أن يقف منه بالموضع الذي لا ينأى عنه، ولا يقرب منه، وأن يسلم عليه قائماً.
1,فإن استدناه، قرب منه، فأكب على أطرافه يقبلها، ثم تنحى عنه قائماً، حتى يقف في مرتبة مثله.
2,فإن أومأ إليه بالقعود، قعد.
3,فإن كلمه، أجابه بانخفاض صوتٍ، وقلة حركة.
4,وإن سكت، نهض من ساعته، قبل أن يتمكن به مجلسه بغير تسليمٍ ثانٍ، ولا انتظار أمرٍ.
5,[دخول الأوساط] وإن كان الداخل من الطبقة الوسطى، فمن حق الملك، إذا رآه، أن يقف، وإن كان نائياً عنه.
6,فإن استدناه، دنا خطى ثلاثاً أو نحوها، ثم وقف أيضاً.
7,فإن استدناه، دنا نحواً من دنوه الأول، ولا ينظر إلى تعب الملك في إشارة أو تحريك جارحة؛ فإن ذلك، وإن كان فيه على الملك معاناة، فهو من حقه وتعظيمه.
8,[كيفية الدخول على الملك] وإن كان دخوله عليه من الباب الأول الذي يقابل وجه الملك ويحاذيه - وكان له طريق عن يمينه أو شماله - عدل نحو الطريق الذي لا يقابله فيه بوجهه، ثم انحرف نحو مجلس الملك، فسلم قائماً ملاحظاً للملك.
9,فإن سكت عنه، انصرف راجعاً من غير سلام ولا كلام؛ وإن استداناه، دنا خطى وهو مطرق، ثم رفع رأسه.
10,فإن استدناه، دنا خطى أيضاً ثم رفع رأسه حتى إذا أمسك الملك عن إشارة أو حركةٍ، وقف في ذلك الموضع الذي يقطع الملك فيه إشارته، قائماً.
11,فإن أومأ إليه بالقعود، قعد مقعياً أو جاثياً.
12,فإن كلمه، أجابه بانخفاض صوتٍ، وقلة حركة، وحسن استماع.
13,فإذا قطع الملك كلامه، قام فرجع القهقرى.
14,فإن أمكنه أن يستتر عن وجهه بجدارٍ أو مسلكٍ لا يحاذيه إذا ولى، مشى كيف شاء.
15,[استقبال الملك للملوك] وعلى الملك، إذا دخل عليه من يساويه في السلطان والتبع والعز والولادة والبيت، أن يقوم فيخطو إليه خطىً ويعانقه، ويأخذ بيده فيقعده في مجلسه، ويجلس دونه؛ لأن هذه حال يحتاج الملك إلى مثلها، من الداخل عليه، إذا زاره؛ فإن بخسه حظه ومنعه ما يجب له، لم يأمن الملك أن يفعل به مثل ذلك.
16,ومتى فعل كل واحدٍ منهما بصاحبه ماهو خارج عن النواميس والشرائع، تولد من ذلك فساد، وحدثت ضغائن بين الملوك يقع بسببها التباغض والتعادي والتحاسد.
